"submission_location","applications"
Revenue Department (STATE),302160
UIDAI State Verification( STATE- MAHARASHTRA),274587
UIDAI( STATE- ANDHRA PRADESH),203877
UIDAI Kerala State Verification( STATE- KERALA),171900
UIDAI State Verification( STATE- UTTAR PRADESH),168501
UIDAI State Verification( STATE- TELANGANA),140535
UIDAI ( STATE- MADHYA PRADESH),120123
UIDAI State Verification( STATE- BIHAR),96333
"Department of Revenue, Rehabilitation & Disaster Management (STATE)",94224
UIDAI State Verification( STATE- ODISHA),91431
Revenue Department,90726
Revenue & Disaster Management Department (STATE),69675
UIDAI( STATE- RAJASTHAN),68373
UIDAI State Verification( STATE- HIMACHAL PRADESH),51372
UIDAI State Verification( STATE- DELHI),47877
UIDAI State Verification( STATE- JHARKHAND),43272
Revenue and Disaster Management Department (STATE),26934
UIDAI State Verification( STATE- CHHATTISGARH),19629
UIDAI State Verification( STATE- JAMMU AND KASHMIR),14880
UIDAI State Verification( STATE- UTTARAKHAND),14133
UIDAI( STATE- MANIPUR),5241
UIDAI State Verification( STATE- GOA),3657
UIDAI State Verification( STATE- NAGALAND),3639
UIDAI State Verification( STATE- HARYANA),3006
UIDAI State Verification( STATE- MIZORAM),2730
UIDAI State Verification( STATE- SIKKIM),1599
UIDAI State Verification( STATE- ARUNACHAL PRADESH),840
UIDAI( STATE- PUDUCHERRY),549
UIDAI State Verification( STATE- ANDAMAN AND NICOBAR ISLANDS),204
UIDAI State Verification( STATE- LADAKH),39
