"month","applications"
2023-08-01 00:00:00.000,15
2023-09-01 00:00:00.000,27
2023-10-01 00:00:00.000,18
2023-11-01 00:00:00.000,18
2023-12-01 00:00:00.000,45
2024-01-01 00:00:00.000,42
2024-02-01 00:00:00.000,21
2024-03-01 00:00:00.000,21
2024-04-01 00:00:00.000,87
2024-05-01 00:00:00.000,171
2024-06-01 00:00:00.000,66
2024-07-01 00:00:00.000,48
2024-08-01 00:00:00.000,102
2024-09-01 00:00:00.000,108
2024-10-01 00:00:00.000,240
2024-11-01 00:00:00.000,207
2024-12-01 00:00:00.000,351
2025-01-01 00:00:00.000,294
2025-02-01 00:00:00.000,612
2025-03-01 00:00:00.000,1095
2025-04-01 00:00:00.000,336
2025-05-01 00:00:00.000,984
2025-06-01 00:00:00.000,2757
2025-07-01 00:00:00.000,6714
2025-08-01 00:00:00.000,32538
2025-09-01 00:00:00.000,39588
2025-10-01 00:00:00.000,649479
2025-11-01 00:00:00.000,43188
2025-12-01 00:00:00.000,9108
2026-01-01 00:00:00.000,11592
2026-02-01 00:00:00.000,17004
2026-03-01 00:00:00.000,26577
2026-04-01 00:00:00.000,877602
2026-05-01 00:00:00.000,410991
