"service_standardized","service_count"
Aadhaar Verification Portal by State - Assam,1
Aadhaar Verification by State Portal - Uttar Pradesh,1
Aadhaar Verification by State Portal - Punjab,1
Aadhaar Verification by State Portal - Rajasthan,1
Aadhaar Verification by State Portal - Sikkim,1
Aadhaar Verification by State Portal - Tamil Nadu,1
Aadhaar Verification by State Portal - Telangana,1
Aadhaar Verification by State Portal - Tripura,1
Aadhaar Verification by State portal -  Andaman and Nicobar,1
Aadhaar Verification by State Portal - Odisha,1
Aadhaar Verification by State portal - Delhi,1
Aadhaar Verification by State portal - Jammu and Kashmir,1
Aadhaar Verification by State portal - Maharashtra,1
Aadhaar Verification by State portal - Mizoram,1
Aadhaar verification by State Portal - Ladakh,1
Aadhar Verification by State Portal - GOA,1
Aadhaar Verification by State Portal - Puducherry,1
Aadhaar Verification by State Portal - Nagaland,1
Aadhaar Verification Portal by State - Lakshadweep,1
Aadhaar Verification by State Portal - Chhattisgarh,1
Aadhaar Verification Portal by State - Manipur,1
Aadhaar Verification Portal by State - Uttarakhand,1
Aadhaar Verification by State Portal -  Arunachal Pradesh,1
Aadhaar Verification by State Portal - Andhra Pradesh,1
Aadhaar Verification by State Portal - Bihar,1
Aadhaar Verification by State Portal - Chandigarh,1
Aadhaar Verification by State Portal - DNH & DD,1
Aadhaar Verification by State Portal - Meghalaya,1
Aadhaar Verification by State Portal - Gujarat,1
Aadhaar Verification by State Portal - Himachal Pradesh,1
Aadhaar Verification by State Portal - Jharkhand,1
Aadhaar Verification by State Portal - Karnataka,1
Aadhaar Verification by State Portal - Kerala,1
Aadhaar Verification by State Portal - Madhya Pradesh,1
PPP Haryana,1
